Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Jordan Hill,2009,8,81.25,82.25,85.5,108,35,31,232.4,6,NA,NA,11,12.23,3.3
Jeff Ayres,2009,31,80.75,82,85,107,35,31,239.6,5.5,NA,NA,15,11.98,3.14
Mohamed Abukar,2007,NA,80,81.75,81,103,35,30.5,210,8.9,NA,NA,15,11.78,3.37
Cedric Simmons,2006,15,80.25,81.5,88.25,108.5,35,30.5,223,5.6,NA,NA,15,11.05,3.31
Kenneth Faried,2011,22,78,79.5,84,108,35,30.5,224.6,6.3,8.5,10.25,16,11.35,3.26
Marquis Daniels,2003,NA,77.25,,82,103.5,35,30.5,198,4,NA,NA,6,11.62,3.25
James Johnson,2009,16,79,79.75,84.75,105.5,35,30.5,257.2,12,NA,NA,18,11.21,3.23
Renaldo Balkman,2006,20,77.25,78.5,85,104.5,35,30.5,206,4.9,NA,NA,9,11.58,3.22
Keita Bates-Diop,2018,48,79.25,80.5,87.25,106.5,35,30.5,223.8,5.35,9,8.5,11,11.2,3.17
Jason Gardner,2003,NA,69.75,,73,92,35,30.5,194,9.3,NA,NA,10,10.62,3.17
James Gist,2008,57,79,80.5,88,107.5,35,30.5,220,4.8,NA,NA,5,11.37,3.14
Rodney Stuckey,2007,15,75.75,76.5,79.25,100.5,35,30.5,207,6.1,NA,NA,14,11.34,3.11
Coleman Collins,2007,NA,80,81.75,86,107,35,30,236,6.2,NA,NA,21,11.47,NA
Tristan Thompson,2011,4,79.5,80.75,85.25,108.5,35,30,227.4,6.2,8.75,9.25,9,10.92,3.26
Deron Williams,2005,3,73.75,74.75,78.25,98,35,30,202.4,NA,NA,NA,15,10.83,3.25
Michael Beasley,2008,2,79,80.25,84.25,107,35,30,239,7.7,NA,NA,19,11.06,3.24
Khyri Thomas,2018,38,74.5,75.75,82.5,101,35,30,198.8,6.4,8.75,9.25,14,10.96,3.18
Delonte West,2004,24,73.5,74.75,78,99.5,35,30,183,6.7,NA,NA,12,11.2,3.15
Kirk Snyder,2004,16,78,78.75,81,104,35,30,228,9.3,NA,NA,19,10.79,3.13
Keith Bogans,2003,43,76.25,NA,81.25,101,35,29.5,213,8,NA,NA,10,11.43,3.25
Maurice Ager,2006,28,75.25,76.5,79.75,101.5,35,29.5,203,8,NA,NA,11,11.73,3.22
Kevin Love,2008,5,79.75,81.5,83.25,106,35,29.5,255,12.9,NA,NA,18,11.17,3.22
Kostas Antetokounmpo,2018,60,81,82.5,86.25,110,35,29.5,194.8,5,9.25,9.5,0,12.48,3.21
James Mays,2008,NA,78.75,79.75,85.75,105,35,29.5,227,8.8,NA,NA,13,11.23,3.19
Marvin Williams,2005,2,79,80.25,87.5,108,35,29.5,228.2,NA,NA,NA,12,11.11,3.17
Anthony Randolph,2008,14,81,82.25,87,109,35,29,197,4.7,NA,NA,7,11.86,3.26
Bruno Fernando,2018,NA,80.75,81.75,88.25,109,35,29,233.2,5.25,9.5,10,11,12.19,3.23
Ruben Douglas,2003,NA,75.5,,79.25,100.5,35,28.5,193,6,NA,NA,9,11.95,3.27
Mustafa Shakur,2007,NA,75,76.5,77.5,99,35,28.5,185,4.1,NA,NA,11,11.82,3.27
Will Solomon,2001,32,71.75,NA,81.5,99.5,35,28.5,172,4,NA,NA,4,11.3,3.22
Chris Porter,2000,55,77.5,NA,81.5,103.5,35,28.5,214,NA,NA,NA,6,10.93,3.2
Jerry Green,2001,NA,73.5,,78.25,99,35,28.5,179,5.5,NA,NA,13,11.7,3.17
DJ Strawberry,2007,59,75.75,77,78.5,101,35,28.5,199,4.5,NA,NA,21,10.87,3.14
D.J. Augustin,2008,9,70,71.5,75.5,94.5,35,28.5,171.5,8.1,NA,NA,2,11.27,3.07
Eduardo Najera,2000,38,78.5,NA,83.5,104.5,35,28,234.5,NA,NA,NA,15,11.38,3.45
Jon Diebler,2011,51,77.25,78.5,78,99,35,28,196.6,8.5,8.25,8.25,2,10.94,3.37
Dante Cunningham,2009,33,79,80.25,83,106.5,35,28,227.4,4.8,NA,NA,18,11.18,3.26
Dajuan Wagner,2002,6,72.75,NA,74,99,35,28,193,NA,NA,NA,16,12.03,3.22
Cory Joseph,2011,29,74,75.25,77.5,99,35,27.5,186.2,9.7,8.5,10.5,5,10.75,3.27
Trey Johnson,2007,NA,75,77.75,77,98,35,26.5,216,5.4,NA,NA,18,11.78,3.31
Craig Brackins,2010,21,80.5,81.75,84,109,35,26,229,7.9,9.5,11.25,6,11.65,3.39
Qyntel Woods,2002,21,79,NA,82,105,34.5,33.5,213,NA,NA,NA,2,11.94,3.23
Rashad McCants,2005,14,74.75,76,82.75,103.5,34.5,32.5,201,NA,NA,NA,15,10.39,3.11
Coby Karl,2007,NA,75,76.75,83,99.5,34.5,32,204,5.4,NA,NA,9,11.57,3.41
E'Twaun Moore,2011,55,74.5,76,81.5,99.5,34.5,32,191.4,7.6,9,10,NA,11.12,3.31
Jordan Crawford,2010,27,75,76.5,79,101,34.5,31.5,198.4,4.9,8,9,7,11.03,3.37
DaShaun Wood,2007,NA,70.75,71.5,72.75,92,34.5,31.5,167,5.4,NA,NA,13,11.4,3.23
Gyasi Cline-Heard,2001,NA,78.25,,83.5,103,34.5,31.5,231,8,NA,NA,11,11.4,3.23
Aloysius Anagonye,2003,NA,78.75,,86.5,106,34.5,31,257,10.5,NA,NA,6,12.93,3.3
Dan Langhi,2000,31,81,NA,80,104,34.5,31,197.5,NA,NA,NA,12,10.85,3.24
Chris Wilcox,2002,8,80.25,NA,85,107.5,34.5,31,218,NA,NA,NA,20,11.43,3.16
John Salmons,2002,26,77.5,NA,82.25,104,34.5,30.5,207,NA,NA,NA,12,11.35,3.25
Gordon Hayward,2010,9,78.75,80,79.75,103,34.5,30.5,211,6.9,8.5,9.25,10,11.73,3.22
Darren Kelly,2001,NA,74,,78.75,100,34.5,30.5,178,6.7,NA,NA,1,11.38,3.21
Taquan Dean,2006,NA,74,75,78.75,98,34.5,30.5,183,3.9,NA,NA,16,10.53,3.2
Andre Iguodala,2004,9,77.75,78.75,83,105.5,34.5,30.5,217,6.7,NA,NA,4,11.17,3.18
Daequan Cook,2007,21,75,77.75,80.25,101.5,34.5,30,203,7,NA,NA,4,11.12,3.22
Steven Smith,2006,NA,79.5,81.25,84.5,104,34.5,29.5,238,7.8,NA,NA,15,12.08,3.4
Cory Hightower,2000,54,77.5,NA,83,101.5,34.5,29.5,183,NA,NA,NA,0,11.92,3.37
Maarty Leunen,2008,54,79.25,80.5,80,102.5,34.5,29.5,222,8.9,NA,NA,14,11.57,3.36
Michael Dunigan,2011,NA,80.5,82,87.25,107.5,34.5,29.5,237.6,8,9,10.75,10,11.85,3.27
Ron Hale,2000,NA,79.5,,83,104.5,34.5,29.5,202,NA,NA,NA,11,12.58,3.2
Stanley Burrell,2008,NA,73.5,74.5,78.25,97.5,34.5,29.5,201,5.6,NA,NA,21,11.19,3.19
DaJuan Summers,2009,35,79.25,80.5,84.75,106.5,34.5,29.5,243,6.6,NA,NA,15,10.94,3.17
TJ Leaf,2017,18,80.75,81.75,83,107,34.5,29,222.2,6.8,8.5,9.5,6,11.55,3.27
Viktor Keyru,2006,NA,77.25,78,81.25,104,34.5,29,202,5.5,NA,NA,11,11.4,3.24
Derrick Williams,2011,2,79.25,80.75,85.5,108,34.5,29,248.4,10.8,9,9.75,19,11.03,3.23
Joe Shipp,2003,NA,76,,82,103,34.5,29,224,11.7,NA,NA,17,11.75,3.2
Bryant Matthews,2004,NA,77.75,78.75,84.5,105.5,34.5,29,206,6.7,NA,NA,13,11.08,3.13
Andre Barrett,2004,NA,68.75,69.75,73,92,34.5,29,171,6.7,NA,NA,13,10.63,3.08
Blake Schilb,2006,NA,77.25,78.25,80.75,102,34.5,28.5,209,11.3,NA,NA,13,11.25,3.43
Troy Murphy,2001,14,81.75,NA,83,105.5,34.5,28.5,230,11.7,NA,NA,11,11.22,3.43
Rolando Howell,2004,NA,79.5,80.5,84.5,107,34.5,28.5,229,11.7,NA,NA,NA,11.91,3.28
Bobby Jones,2006,37,77.75,78.75,81.5,101.5,34.5,28.5,211,8,NA,NA,15,11.23,3.28
Dominic McGuire,2007,47,79,80.25,82.5,104,34.5,28.5,220,4.7,NA,NA,12,10.95,3.25
Calvin Bowman,2001,NA,80.75,,83.5,104,34.5,28.5,214,8.6,NA,NA,7,11.96,3.21
Carsen Edwards,2018,NA,70.75,72,78.25,94.5,34.5,28.5,195.6,6.3,8.5,9.25,12,11.59,3.2
Souleymane Camara,2003,NA,81.75,,86.25,109,34.5,28.5,211,9.9,NA,NA,2,11.51,3.2
Bernard Robinson,2004,45,77.25,78.5,82,102,34.5,28.5,208,6,NA,NA,14,10.91,3.17
Denham Brown,2006,40,76,77,81.5,102.5,34.5,28,218,9,NA,NA,12,11.42,3.25
Othello Hunter,2008,NA,78.5,79.5,87,109.5,34.5,28,220,6.4,NA,NA,7,11.51,3.18
Pete Mickeal,2000,58,77,NA,81.5,103.5,34.5,28,222,NA,NA,NA,8,10.83,3.06
Evan Turner,2010,2,77.75,79,80,103.5,34.5,27.5,213.8,8.6,8.75,9.5,9,11.06,3.27
JR Reynolds,2007,NA,72,74.75,75.25,95,34.5,27.5,188,8.2,NA,NA,15,11.69,3.24
Kei Madison,2002,NA,79.75,,84.5,107,34.5,27.5,216,NA,NA,NA,6,11.74,3.22
Carlos Powell,2005,NA,77.25,78.75,82.75,105,34.5,27.5,221.8,NA,NA,NA,12,11.54,3.21
Nigel Williams-Goss,2017,55,73.5,75,79.25,99,34.5,27.5,190.2,5.6,8.75,9.25,10,10.42,3.19
Greg Oden,2007,1,83,84,88.25,112,34,32,257,7.8,NA,NA,NA,11.67,3.27
Emeka Okafor,2004,2,80.75,82,88,110.5,34,31.5,257,5.3,NA,NA,22,12.32,3.15
CJ Watson,2006,NA,72.5,73.75,78,96,34,31.5,171,5.2,NA,NA,12,11.61,3.15
Danny Granger,2005,17,79.5,80.5,85.5,103,34,31,225.4,NA,NA,NA,10,10.84,3.34
Brandon Bowman,2006,NA,78.75,80.25,83.5,103,34,31,209,8.4,NA,NA,24,11.41,3.31
Sam Clancy,2001,NA,78.25,,86.75,107,34,31,242,8,NA,NA,15,11.47,3.13
Keydren Clark,2006,NA,69,70.25,74.5,92.5,34,31,184,11.6,NA,NA,13,11.03,3.11
Gabe Muoneke,2000,NA,78.25,,84.5,105,34,30.5,244,NA,NA,NA,22,11,3.4
Herbert Hill,2007,55,79,81.75,86.25,108.5,34,30.5,232,5.6,NA,NA,15,12.31,3.39
Brian Bowen,2018,NA,78.25,79.5,82.25,103.5,34,30.5,202,7.6,9,10,0,11.58,3.28
Marcus Slaughter,2006,NA,79,80,83.5,104.5,34,30,220,8.5,NA,NA,9,11.56,3.4
Eric Hicks,2006,NA,76.75,77.5,85.5,105.5,34,30,238,7.1,NA,NA,20,12.06,3.34
Vincent Yarbrough,2002,32,77.5,NA,84.5,104.5,34,30,202,NA,NA,NA,10,11.7,3.32
Tyrone Brazelton,2008,NA,70,71,73.75,94,34,30,166,8.1,NA,NA,8,11.59,3.25
A.J. Granger,2000,NA,79.5,,81.5,103,34,30,227,NA,NA,NA,20,10.73,3.25
Nene,2002,7,81.25,NA,88.5,109,34,30,253,NA,NA,NA,16,10.73,3.19
Jason Keep,2003,NA,81.75,,84.5,106.5,34,29.5,270,8.6,NA,NA,27,11.18,3.3
Eddy Fobbs,2005,NA,82.25,83.25,90.75,111.5,34,29.5,235.2,NA,NA,NA,12,11.53,3.28
Charles Jenkins,2011,44,73.5,75.25,79.5,96.5,34,29.5,216.4,4.3,8.5,9,16,11.68,3.18
Yue Sun,2007,NA,79.75,80.75,81,105,34,29,212,5.1,NA,NA,9,10.68,3.45
Joah Tucker,2006,NA,75.75,77.25,78.5,99.5,34,29,224,7,NA,NA,19,11.58,3.31
Darington Hobson,2010,37,77.25,78.5,81.25,104.5,34,29,203.6,6.2,8.25,9,NA,11.68,3.25
Jeryl Sasser,2001,22,77.5,NA,82.5,103.5,34,29,194,6.7,NA,NA,1,11.47,3.22
Acie Law,2007,11,74,75.5,78.5,98,34,29,186,5.6,NA,NA,8,11,3.22
John Lucas III,2005,NA,69.25,70.5,72,92,34,29,154.4,NA,NA,NA,4,10.44,3.14
Josh Heytvelt,2009,NA,82,83,85.25,108,34,28.5,246.2,10.8,NA,NA,15,11.67,3.38
Chris Thomas,2005,NA,71.75,73,75,95,34,28.5,176.2,NA,NA,NA,14,10.84,3.33
Quinton Hosley,2007,NA,77,79.75,83.25,105,34,28.5,215,5.7,NA,NA,12,12.47,3.32
Greg Harrington,2002,NA,73,,75.75,97,34,28.5,183,NA,NA,NA,15,12.06,3.32
Jrue Holiday,2009,17,75.25,76.25,79,100.5,34,28.5,199,6.3,NA,NA,6,10.64,3.21
Tyreke Evans,2009,4,76,77.25,83.25,104,34,28.5,220.6,7.1,NA,NA,7,11.81,3.17
Nolan Smith,2011,21,73.5,75.5,77.5,99,34,28.5,187.6,5.6,8.5,9.25,9,11.05,3.17
Carl English,2003,NA,76,,77.25,98.5,34,28,201,8,NA,NA,11,11.77,3.32
Jawad Williams,2005,NA,79,80,85.25,106.5,34,28,218,NA,NA,NA,15,11.39,3.23
Bobby Simmons,2001,41,78.25,NA,84.25,105,34,27.5,235,6.7,NA,NA,12,11.69,3.41
Tyler Hansbrough,2009,13,80.25,81.5,83.5,106,34,27.5,234.2,8.5,NA,NA,18,11.12,3.27
Jeff Newton,2003,NA,80,,85,106,34,27.5,199,5.3,NA,NA,9,11.18,3.23
Igor Rakocevic,2000,51,74.5,NA,77.25,100,34,27.5,184,NA,NA,NA,9,10.4,3.1
Kyle Kuzma,2017,27,80,81.5,84.25,107.5,34,27,222.6,9.4,8.5,9.5,12,10.72,3.25
Theo Pinson,2018,NA,77,78.75,82.75,103.5,34,27,211.2,7.35,9,9,7,11.53,3.22
PJ Washington,2018,NA,78.5,80,86.5,107,34,27,223,6.85,9,10.25,3,11.39,3.2
Moritz Wagner,2018,25,82.5,83.5,84,108,34,27,241.4,6.75,9,10.75,8,11.48,3.18
LaMarcus Aldridge,2006,2,82,83.25,88.75,110,34,26.5,234,8.7,NA,NA,8,12.02,3.43
Tyson Chandler,2001,2,83.5,NA,87,110,33.5,31,224,6.7,NA,NA,2,12.13,3.36
Ekpe Udoh,2010,6,80.75,81.75,88.5,106.5,33.5,31,237.4,8,9.5,8.75,10,11.15,3.29
Mark Madsen,2000,29,80,NA,84.5,104.5,33.5,30.5,236.5,NA,NA,NA,13,12.12,3.46
Michel Morandais,2004,NA,75.75,76.75,83.5,102,33.5,30.5,205,8.6,NA,NA,16,11.45,3.22
Carmelo Anthony,2003,3,78.25,NA,84,105.5,33.5,30.5,233,8,NA,NA,7,11.4,3.15
Darren Collison,2009,21,72.25,73.5,75,96.5,33.5,30.5,166.2,5.7,NA,NA,9,10.45,3.1
Zabian Dowdell,2007,NA,73,75,82,100,33.5,30,191,5.1,NA,NA,3,11.13,3.29
Tyler Lydon,2017,24,80.25,81.5,84,107.5,33.5,29.5,215,13.6,8.75,8.75,1,11.68,3.46
Jason Hart,2000,49,73.75,NA,78,97.5,33.5,29.5,181,NA,NA,NA,9,11.7,3.34
Ramon Sessions,2007,56,74,75.75,76.25,97.5,33.5,29.5,185,6.2,NA,NA,8,11.65,3.27
Marcus Goree,2000,NA,79.5,,84.5,105.5,33.5,29.5,239,NA,NA,NA,13,12,3.25
Jackson Vroman,2004,31,81.25,82.75,84,105.5,33.5,29.5,226,6.7,NA,NA,12,10.75,3.25
Ebi Ere,2003,NA,75.5,,82.5,102,33.5,29.5,210,14.1,NA,NA,NA,11.38,3.16
Shelden Williams,2006,5,79.5,80.5,88.25,104,33.5,29,258,11.4,NA,NA,25,11.53,3.59
Matt Carroll,2003,NA,77,,78.5,98.5,33.5,29,207,6.7,NA,NA,13,11.11,3.35
Nigel Hayes,2017,NA,78.25,79.5,87.25,104.5,33.5,29,254.2,11.5,8.75,10,16,11.81,3.27
Tyler Smith,2009,NA,77.25,78,81.75,104.5,33.5,29,212,7,NA,NA,10,10.69,3.24
Kirk Hinrich,2003,7,74.75,NA,78,98.5,33.5,29,186,5.3,NA,NA,10,10.98,3.1
Raymond Felton,2005,5,71.5,72.25,76.25,98,33.5,29,199.4,NA,NA,NA,6,10.5,3.06
Julian Wright,2007,13,78.5,80.5,86.25,108,33.5,28.5,211,6.1,NA,NA,2,11.48,3.36
Udonis Haslem,2002,NA,79.75,,83,107,33.5,28.5,250,NA,NA,NA,22,11.8,3.31
Reed Rawlings,2000,NA,78.25,,81.25,104,33.5,28.5,218,NA,NA,NA,13,11.1,3.27
Robert Whaley,2005,51,80,81,86,108,33.5,28.5,269.4,NA,NA,NA,15,12.11,3.25
Patrick Patterson,2010,14,80,81.25,85.25,107,33.5,28.5,239.6,5.3,9.25,10.25,17,11.14,3.25
Jameer Nelson,2004,20,71,72.5,74.5,95,33.5,28.5,199,8,NA,NA,15,10.95,3.14
Dan Grunfeld,2006,NA,76.75,78,78.25,99,33.5,28,216,10.4,NA,NA,16,11.3,3.46
Isaiah Briscoe,2017,NA,73.25,74.75,81,99.5,33.5,28,222.4,11,9,9.25,11,10.95,3.38
Austin Wiley,2018,NA,80.25,82,89,111,33.5,28,249.4,5,9.75,10.25,14,12.79,3.3
Jeremy Tyler,2011,39,81,82.5,89,110.5,33.5,28,262.4,13.4,9.25,9,10,11.26,3.29
Monte Morris,2017,51,73.25,74.5,76,96.5,33.5,28,175.2,6.9,8.25,8.75,8,11,3.19
Bernard King,2003,NA,75.75,,77.5,98.5,33.5,28,200,12.9,NA,NA,11,11.37,3.18
Andrew Bogut,2005,1,83,84.25,87,110.5,33.5,27.5,250.6,NA,NA,NA,13,12.06,3.51
Marcus Taylor,2002,51,73,NA,76.5,98.5,33.5,27.5,181,NA,NA,NA,4,11.25,3.31
Marcus Dove,2008,NA,78.75,79.5,83.5,105,33.5,27.5,208,5.3,NA,NA,10,11.59,3.26
Gary Forbes,2008,NA,76.5,77.75,83.25,104.5,33.5,27.5,220.5,6.5,NA,NA,13,11.45,3.25
Michael Wright,2001,38,79,NA,83.5,106.5,33.5,27.5,247,9.3,NA,NA,18,11.37,3.21
Jawun Evans,2017,39,70.75,71.5,77.5,95,33.5,27.5,185.2,9.1,8,7.75,1,11.34,3.21
Malik Newman,2018,NA,74.5,75.25,77.5,98.5,33.5,27.5,189.2,6.25,8.5,9.5,NA,10.9,3.13
Nate Johnson,2000,NA,78.5,,80.5,104,33.5,27,211.5,NA,NA,NA,13,11.9,3.33
Al-Farouq Aminu,2010,8,79.25,80.5,87.25,108.5,33.5,27,216,8.2,9.5,9.5,13,11.29,3.3
Dionte Christmas,2009,NA,76.25,77.5,81,102.5,33.5,27,210.8,7.1,NA,NA,3,10.83,3.21
Mark Tyndale,2008,NA,74.75,75.5,83,103.5,33.5,27,217,6.7,NA,NA,5,12.52,3.14
Jereme Richmond,2011,NA,78,79.25,82.25,106.5,33.5,27,207.2,5.5,8.75,9.5,0,11.74,3.02
Blake Schilb,2007,NA,77,79,81,102.5,33.5,26.5,214,10,NA,NA,11,11.63,3.36
Ed Cota,2000,NA,72.25,,76,96.5,33.5,26.5,189,NA,NA,NA,1,10.98,3.24
Charles Rhodes,2008,NA,79.25,80.25,83.25,107.5,33.5,26.5,244,10.7,NA,NA,14,11.51,3.13
Kevin Durant,2007,2,81,82.25,88.75,110,33.5,26,215,6.6,NA,NA,0,12.33,3.45
Kimani Ffriend,2001,NA,81.5,,82.75,108.5,33,32,228,11.7,NA,NA,9,11.46,3.09
Anthony Evans,2001,NA,78,,83.5,101.5,33,31.5,267,12.9,NA,NA,18,12.56,3.31
Brandon Bass,2004,NA,78.25,79.25,86.5,106.5,33,31.5,246,9.3,NA,NA,18,11.61,3.24
James Hughes,2007,NA,81,82.75,87,111,33,31,209,3.5,NA,NA,8,13.31,3.37
Marcus Thornton,2009,43,74.75,75.75,77,99,33,31,194.4,4.8,NA,NA,14,10.73,3.28
Chris Bosh,2003,4,82.25,NA,87.5,109,33,30.5,225,8,NA,NA,9,11.8,3.3
Jeremy Hunt,2007,NA,74,76.75,80.25,101.5,33,30.5,198,5.2,NA,NA,10,12.11,3.29
Ronny Turiaf,2005,37,80,81.25,85.5,106.5,33,30.5,237.8,NA,NA,NA,15,11.5,3.23
James Jones,2003,49,79.25,NA,86.5,107.5,33,30.5,218,6.7,NA,NA,9,11.18,3.19
Kwame Brown,2001,1,82,NA,85,108,33,30,243,8.9,NA,NA,17,11.59,3.45
Charles Hayes,2005,NA,77.5,78.75,82,104.5,33,30,232.4,NA,NA,NA,20,10.7,3.34
Sean May,2005,13,79,80.5,85.25,105,33,30,258.8,NA,NA,NA,12,11.04,3.29
Shake Milton,2018,54,76.5,77.5,84.75,99.5,33,30,207.2,6.8,8.75,9.5,2,11.07,3.25
Shan Foster,2008,51,76,77.25,83.5,103.5,33,30,194.5,6.3,NA,NA,10,12.3,3.24
Tommy Smith,2003,53,81,NA,86.5,107.5,33,30,200,6.7,NA,NA,2,11.54,3.14
Shane Battier,2001,6,80.25,NA,82.5,105,33,29.5,229,9.3,NA,NA,12,10.95,3.3
Maurice Baker,2002,NA,71.75,,76,96,33,29.5,178,NA,NA,NA,2,12.19,3.29
Sean Dockery,2006,NA,72.75,74,76.5,95.5,33,29,182,7.3,NA,NA,4,10.88,3.34
