Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Carl Krauser,2005,NA,71.5,72.75,77.5,98.5,31,26,193.4,NA,NA,NA,8,11.62,3.38
Carl Krauser,2006,NA,71.75,72.75,78.25,97,31,26,190,8,NA,NA,8,11.62,3.38
Demetrius Porter,2001,NA,70.75,,74.75,94,31,26,178,12.4,NA,NA,5,11.5,3.34
Nate James,2001,NA,76.75,,82.75,103,31,26,196,6,NA,NA,23,11.42,3.31
Charlie Villanueva,2005,7,81,81.5,84.25,109,31,26,236.6,NA,NA,NA,11,10.86,3.3
Joe Ingles,2009,NA,79.75,80.25,82.25,105,31,26,209.2,10.1,NA,NA,3,10.66,3.3
Frank Williams,2002,25,73.5,NA,80,100.5,31,26,212,NA,NA,NA,NA,11.73,3.29
A.J. Price,2009,NA,72.5,74,75.75,97,31,26,192.8,12.4,NA,NA,11,10.99,3.22
Jontay Porter,2018,NA,82,83.5,84.25,109,31,25.5,236,13.85,8.75,9.5,9,11.9,3.4
Joseph Jones,2008,NA,79,80.5,84.25,107,31,25.5,240,12.2,NA,NA,16,11.61,3.33
Luke Recker,2002,NA,76.75,,79,101,31,25.5,198,NA,NA,NA,13,10.78,3.27
Alize Johnson,2018,50,79.25,80,80.75,103,31,25,216.6,8.1,8.5,9.75,8,11.83,3.38
Devon Hall,2018,53,76.25,78,79.75,102,31,25,206.4,8.45,8.5,10,6,10.95,3.27
Chris Burgess,2002,NA,82,,83.5,109,31,24.5,246,NA,NA,NA,24,11.58,3.37
Steve Novak,2006,32,80,81.25,81.5,103,31,24.5,216,8.1,NA,NA,5,11.11,3.37
Travis Diener,2005,38,71.75,73,71.75,93.5,31,24.5,165.2,NA,NA,NA,1,10.85,3.26
Desmon Farmer,2004,NA,76.5,77.75,80.5,103,31,24,214,5.3,NA,NA,12,10.89,3.2
Jamel Artis,2017,NA,77.5,78.75,82,105,31,23.5,213.2,11.9,9.25,9.75,5,11.62,3.44
Souleymane Wane,2001,NA,80.5,,89,109,30.5,29,235,11.2,NA,NA,9,12.02,3.46
Kenny Adeleke,2006,NA,78.5,79.75,82.25,104,30.5,28.5,250,10.5,NA,NA,26,11.57,3.47
Kennedy Meeks,2017,NA,80.75,82.25,85,106,30.5,28,276.6,11.5,8.75,8.75,15,12.91,3.5
D'Or Fischer,2005,NA,81.25,82.5,90,110.5,30.5,28,242.4,NA,NA,NA,2,12.53,3.5
Jameel Watkins,2000,NA,81.5,,90,110,30.5,28,244.5,NA,NA,NA,11,12.38,3.45
Martell Webster,2005,6,78,79.5,83,106,30.5,28,229.6,NA,NA,NA,7,11.39,3.39
Brook Lopez,2008,10,83.25,84.5,89.5,113,30.5,27.5,258,6.3,NA,NA,7,12.77,3.57
Major Wingate,2007,NA,80.5,82.75,88,109,30.5,27.5,242,6.7,NA,NA,15,12.14,3.47
Trey Thompkins,2011,37,80.5,81.75,85,107.5,30.5,27.5,239,15.5,9.25,9.75,15,11.72,3.41
Mark Karcher,2000,48,76,NA,80,102.5,30.5,27.5,218,NA,NA,NA,12,11.51,3.4
Kevin Lyde,2002,NA,80.75,,86,109.5,30.5,27.5,278,NA,NA,NA,13,12.97,3.36
Brian Scalabrine,2001,34,80.75,NA,81.75,105.5,30.5,27,241,13.6,NA,NA,14,11.75,3.47
Sindarius Thornwell,2017,48,75.5,76.75,82,103,30.5,27,211.6,7.8,8.75,8.75,15,11.48,3.36
Wesley Wilson,2003,NA,82.25,,87,110.5,30.5,27,257,12.4,NA,NA,20,12.19,3.3
Mustafa Al-Sayyad,2005,NA,NA,NA,NA,NA,30.5,26.5,-,NA,NA,NA,NA,11.56,3.42
Chris Richard,2007,41,79,80.75,88.5,110.5,30.5,26.5,252,7.5,NA,NA,15,11.39,3.29
Alan Anderson,2005,NA,76.5,78,81.5,104,30.5,26.5,223.2,NA,NA,NA,10,10.32,3.27
Ryan Gomes,2004,NA,78.5,79.75,86,106.5,30.5,26.5,248,NA,NA,NA,9,12.49,3.24
Jamie Skeen,2011,NA,78.5,80,85.25,106.5,30.5,26,241.6,9.8,8.5,8.5,10,12.43,3.46
Justin Patton,2017,16,82,83.25,87,111.5,30.5,26,229,7.8,8.75,9.75,NA,11.8,3.46
Sani Ibrahim,2003,NA,80.5,,85,109.5,30.5,26,229,9.3,NA,NA,12,13.02,3.4
Rick Anderson,2003,NA,80.25,,83,106.5,30.5,26,216,9.9,NA,NA,6,11.23,3.4
J.P. Batista,2006,NA,79.5,80.5,82,103.5,30.5,26,265,12,NA,NA,26,11.62,3.38
DeAndre Jordan,2008,35,81.75,83,90,113.5,30.5,26,250,7.5,NA,NA,8,12.3,3.27
Brad Buckman,2006,NA,79.25,80.75,84,107.5,30.5,25.5,238,10.5,NA,NA,10,12.26,3.54
Adam Morrison,2006,3,78.5,79.75,82,105,30.5,25.5,198,6.8,NA,NA,11,11.46,3.37
Derrick Caracter,2010,58,80.25,81.5,84.25,107.5,30.5,25,280,12.8,9,10.25,22,12.78,3.61
Drago Pasalic,2005,NA,81.5,83,83.75,108.5,30.5,25,238.8,NA,NA,NA,11,12.12,3.48
Jordan Williams,2011,36,79.75,81,84.25,106.5,30.5,25,247.2,12.1,9.25,10,10,12.74,3.45
Ryvon Covile,2007,NA,79,80.5,85.25,107.5,30.5,25,250,8,NA,NA,19,12.52,3.37
Marcus Melvin,2004,NA,78.75,80.5,84,105.5,30.5,25,241,10.5,NA,NA,11,11.81,3.33
Daryl Dorsey,2005,NA,71.25,72.5,71.5,94,30.5,25,160.8,NA,NA,NA,0,11.41,3.24
Aerick Sanders,2004,NA,78.5,79.5,83.5,106,30.5,24.5,205,6.7,NA,NA,9,11.98,3.37
Charles Garcia,2010,NA,80.25,81.25,85.75,107.5,30.5,24.5,231.6,7,8.75,9,2,11.65,3.23
Marko Lekic,2007,NA,81,82.5,85,108.5,30.5,24,267,11.4,NA,NA,19,11.96,3.43
Daniel Orton,2010,29,80.75,81.5,88.25,110.5,30.5,24,269.2,13.8,8.5,9.75,13,12.32,3.39
Andy Rautins,2010,38,76.25,77,79,100,30.5,23.5,191.6,6.2,8,9.75,8,11.27,3.49
Chris Kaman,2003,6,83.5,NA,83.75,110.5,30.5,23.5,252,16.3,NA,NA,15,11.33,3.37
Kenyon Jones,2000,NA,81,,85,108,30,28.5,282,NA,NA,NA,20,12.44,3.6
Al Jefferson,2004,15,80.5,81.75,86.5,110,30,28.5,263,10.5,NA,NA,3,13.08,3.29
Anthony Tolliver,2007,NA,79,80.5,86.5,107.5,30,28.5,242,5.7,NA,NA,21,11.49,3.29
Darrell Arthur,2008,27,79.5,80.5,82.75,107,30,28.5,216,7.3,NA,NA,12,12.18,3.14
Brian Boddicker,2004,NA,79.5,80.75,82,105.5,30,28,230,11.2,NA,NA,16,10.93,3.25
Muhammed Lasege,2002,NA,80.75,,86,108.5,30,27.5,228,NA,NA,NA,18,12.96,3.29
Jermareo Davidson,2007,36,81,83,88,109.5,30,27,230,6.9,NA,NA,7,12.63,3.53
Robb Dryden,2001,NA,85,,86.5,110.25,30,27,241,8,NA,NA,8,12.47,3.46
Antonis Fotsis,2000,NA,81.25,,80.5,106,30,27,219,NA,NA,NA,2,11.6,3.44
Michael Bradley,2001,17,81.5,NA,85.5,107,30,27,227,9.3,NA,NA,13,11.11,3.35
Patrick O'Bryant,2006,9,83,84,89.75,113,30,26.5,249,10,NA,NA,13,12.68,3.63
Terence Dials,2006,NA,79.75,81,84,106,30,26.5,253,15.8,NA,NA,16,11.54,3.5
Shaun Livingston,2004,4,78.25,79.5,83,105.5,30,26.5,186,6.7,NA,NA,NA,10.72,3.23
Jared Jeffries,2002,11,82,NA,84.5,109,30,26,230,NA,NA,NA,9,11.73,3.4
Dylan Page,2004,NA,79.5,80.75,79,105,30,26,239,12.3,NA,NA,17,10.99,3.4
Marcelus Kemp,2008,NA,75,76.25,80.5,103.5,30,26,221,9,NA,NA,9,11.79,3.39
Craig Dawson,2002,NA,75.5,,78.25,102,30,26,200,NA,NA,NA,0,12.06,3.25
Kareem Rush,2002,20,76.75,NA,81.75,103.5,30,26,199,NA,NA,NA,15,11.86,3.22
Drago Pasalic,2004,NA,81.25,82.75,83.5,108,30,25.5,231,12.9,NA,NA,8,12.97,3.56
Antanas Kavaliauskas,2007,NA,81,82.5,82.5,106.5,30,25.5,237,7.7,NA,NA,19,11.19,3.42
Taj Gibson,2009,26,80.5,81.75,88,109,30,25.5,214.4,6.6,NA,NA,12,11.56,3.41
Marcus Moore,2004,NA,76,77.25,81,101.5,30,25,202,14.8,NA,NA,NA,11.31,3.34
Rashad Jones-Jennings,2007,NA,78,79.5,84,105.5,30,25,235,5.9,NA,NA,20,12.18,3.29
Jabari Smith,2000,45,81.75,NA,86.5,109.5,30,24.5,240.5,NA,NA,NA,15,12.45,3.43
Mike Mardesich,2001,NA,82.25,,84.5,108.5,30,24,247,13.6,NA,NA,8,11.65,3.45
Byron Mouton,2002,NA,76.5,,82.25,102,30,24,213,NA,NA,NA,7,11.84,3.1
Darrell Johns,2001,NA,83.25,,89,111.5,30,23.5,278,19.1,NA,NA,18,12.41,3.59
Jason Kapono,2003,31,78.5,NA,78.5,102,30,23.5,215,11.7,NA,NA,8,11.04,3.38
Kyle Singler,2011,33,79.5,80.5,82.1,106,30,23,228,10,8.25,8.75,10,11.22,3.21
Ersan Ilyasova,2005,36,79.75,81,85.25,109.5,30,22,208.8,NA,NA,NA,2,11.59,3.56
Keith Langford,2005,NA,74.25,75.5,81,101,29.5,32,203.2,NA,NA,NA,8,11.38,3.23
Craig Smith,2006,36,77.5,78.5,81.5,103.5,29.5,30,259,12.2,NA,NA,NA,11.59,3.4
Frans Steyn,2006,NA,85.25,86.5,86.25,109,29.5,28.5,280,12.8,NA,NA,NA,11.67,3.38
Sylvere Bryan,2002,NA,81,,88.5,109.5,29.5,28.5,226,NA,NA,NA,13,12.03,3.2
Lamont Barnes,2000,NA,80.5,,87.5,108,29.5,28,235.5,NA,NA,NA,10,12.3,3.4
Cartier Martin,2007,NA,76,78.5,82,103.5,29.5,27,218,5.6,NA,NA,11,12.1,3.43
Troy Ostler,2001,NA,80.75,,85.5,106.5,29.5,26.5,200,8,NA,NA,2,13.42,3.5
Antoine Wright,2005,15,77.25,78.25,80.75,104.5,29.5,26.5,202.6,NA,NA,NA,12,11.45,3.41
Primoz Brezec,2000,27,84.75,NA,86,110,29.5,26,243,NA,NA,NA,NA,11.53,3.55
Robert Vaden,2008,NA,75.5,76.5,80,101,29.5,26,199,6.2,NA,NA,10,11.97,3.4
Brooks Sales,2002,NA,81,,82,108,29.5,26,232,NA,NA,NA,13,11.05,3.29
David Graves,2002,NA,76.5,,79,101,29.5,26,212,NA,NA,NA,8,11.2,3.27
Reggie Evans,2002,NA,79.5,,86.5,107.5,29.5,26,250,NA,NA,NA,15,12.73,3.26
Jaime Lloreda,2004,NA,78.75,80.5,81.5,107,29.5,25.5,247,9.9,NA,NA,6,12.93,3.23
Jannero Pargo,2002,NA,72.25,,74.5,96,29.5,25.5,168,NA,NA,NA,5,11.11,3.2
Omar Thomas,2005,NA,75.25,76.5,80,102,29.5,25,200,NA,NA,NA,6,11.11,3.27
Ronald Steele,2008,NA,72.25,73.5,76.25,97.5,29.5,25,183.5,8.1,NA,NA,5,11.08,3.26
Darius Songaila,2002,49,80,NA,85,108.5,29.5,24.5,240,NA,NA,NA,8,11.69,3.52
Ramel Bradley,2008,NA,73.25,74.25,77,98,29.5,24.5,184,5.7,NA,NA,9,10.68,3.24
Lee Scruggs,2001,NA,82.25,,89.75,110.5,29.5,23.5,209,10.5,NA,NA,0,13.28,3.55
Harold Arceneaux,2000,NA,76.5,,80.5,103,29,NA,219,NA,NA,NA,0,13.8,NA
Eric Williams,2006,NA,79.25,80.75,88.25,106.5,29,28.5,285,13,NA,NA,17,11.71,3.56
Preston Shumpert,2002,NA,78,,80.5,103.5,29,28.5,197,NA,NA,NA,9,11.03,3.24
Kris Lang,2002,NA,81.25,,83.75,109,29,28,242,NA,NA,NA,19,11.36,3.24
Uche Nsonwu-Amadi,2003,NA,79.75,,87.75,106.5,29,27.5,246,6,NA,NA,21,11.83,3.25
Jarrett Stephens,2000,NA,77.25,,81.25,103,29,27,258,NA,NA,NA,13,11.98,3.46
Spencer Hawes,2007,10,82,84.75,84.5,110,29,26,244,13,NA,NA,9,11.88,3.51
Kyle Visser,2007,NA,82,83.5,83,108,29,26,242,10.2,NA,NA,18,12.6,3.39
Melvin Ely,2002,12,81,NA,88,111,29,26,240,NA,NA,NA,7,11.96,3.35
Matthew Nielsen,2000,NA,81,,82.5,106,29,26,223,NA,NA,NA,3,11.28,3.35
Malik Allen,2000,NA,80.25,,86.5,109,29,25.5,271,NA,NA,NA,13,11.83,3.38
Brian Montonati,2000,NA,80.75,,82.5,106,29,25,215,NA,NA,NA,5,11.85,3.53
Ali Traore,2007,NA,80.75,81.75,88,108.5,29,25,249,12.1,NA,NA,11,12.16,3.52
Brian Cook,2003,24,81.5,NA,86,109,29,25,234,10.5,NA,NA,6,11.87,3.45
Greg Monroe,2010,7,81.75,83,86.25,108.5,29,25,246.6,11.2,8.75,9.5,15,12.1,3.35
Omar Quintero,2004,NA,69.75,71.25,71.5,92.5,29,25,170,14.1,NA,NA,2,11.37,3.25
Mike Dunleavy,2002,3,80,NA,81,106,29,24.5,230,NA,NA,NA,11,11.55,3.3
Julius Hodge,2005,20,78,79,84.5,107.5,29,24.5,202.2,NA,NA,NA,14,10.89,3.18
Jarron Collins,2001,52,81.25,NA,87,104,29,23,252,15.2,NA,NA,10,11.65,3.6
Brent Wright,2001,NA,79.75,,85.5,105.5,29,23,236,12.4,NA,NA,19,12.25,3.3
Aleksandar Capin,2004,NA,72,73.25,73.5,94,29,23,176,9.3,NA,NA,4,11.5,3.27
Ales Chan,2004,NA,84,86,87,113,29,21,255,14.8,NA,NA,2,12.9,3.62
Willie Green,2003,41,74.5,NA,79.25,100,28.5,28.5,201,8,NA,NA,13,11.86,3.19
Brendan Haywood,2001,20,83.75,NA,90.5,113.5,28.5,27,266,12.9,NA,NA,17,12.87,3.5
Arthur Johnson,2004,NA,79,80.5,87,109,28.5,26.5,262,16.3,NA,NA,14,11.81,3.38
Carlos Boozer,2002,34,79.75,NA,86.25,108.5,28.5,26.5,258,NA,NA,NA,13,10.77,3.31
Aaron McGhee,2002,NA,79,,82,105.5,28.5,26,255,NA,NA,NA,NA,12.24,NA
Chris Daniels,2008,NA,80.25,81.5,84.5,109,28.5,26,256,16.1,NA,NA,11,12.72,3.56
Ellis Myles,2005,NA,78,79.25,81.75,105.5,28.5,26,255.2,NA,NA,NA,15,12.8,3.42
Ivan Koljevic,2004,NA,73,74,74.5,95,28.5,26,172,6.7,NA,NA,4,11.07,3.28
Jarrett Jack,2005,22,74.5,75.5,79.5,100,28.5,26,197.6,NA,NA,NA,5,10.87,3.24
Jason Collins,2001,18,82.25,NA,88.5,110,28.5,25.5,251,12.9,NA,NA,8,12.1,3.54
Tate Decker,2001,NA,81.25,,83.75,107,28.5,25.5,218,13.6,NA,NA,13,12.19,3.47
Ryan Richards,2010,49,82.5,83.75,85.5,110,28.5,25,230.2,8,9,9.75,4,11.33,3.37
Rich Melzer,2004,NA,79.5,80.75,86,107,28.5,24.5,229,12.4,NA,NA,8,11.74,3.39
Jared Jordan,2007,45,72,73.75,72,94,28.5,24.5,183,7,NA,NA,6,11.02,3.39
Luke Harangody,2010,52,78,79.75,81.5,106,28.5,24,240.2,11.1,8.75,9.75,23,11.83,3.41
Keith Gallon,2010,NA,80.5,81.5,88.5,109.5,28.5,23.5,301.8,15.1,9.25,10.5,14,13.44,3.7
Predrag Savovic,2002,NA,76.75,,79,102,28.5,22.5,212,NA,NA,NA,13,10.94,3.38
Vassil Evtimov,2000,NA,81.75,,82.5,106.5,28.5,21,262,NA,NA,NA,13,11.75,3.52
Smush Parker,2002,NA,74.5,,82,107.5,28.5,21,179,NA,NA,NA,1,12.3,3.26
Richard Hendrix,2008,49,78.75,80.75,87,108,28,26.5,250,9.2,NA,NA,13,10.62,3.27
Craig Bradshaw,2007,NA,80,81.75,85.5,106.5,28,26,240,12.1,NA,NA,12,11.88,3.54
Larry Sanders,2010,15,81.25,82.5,89.75,112,28,25.5,222.4,4.6,9.75,11,7,12.49,3.27
Austin Daye,2009,15,81.75,82.75,86.75,110,28,25,191.8,5.5,NA,NA,0,12.11,3.55
Loren Woods,2001,45,84.75,NA,89.5,113,28,24.5,246,9.3,NA,NA,10,11.83,3.48
Marcus Williams,2006,22,74,75.25,79,97.5,28,24.5,215,12.4,NA,NA,4,11.3,3.4
Karim Shabazz,2000,NA,83.5,,87,111.5,28,24.5,224,NA,NA,NA,2,12.72,3.36
David Padgett,2008,NA,82.25,83.5,85,109.5,28,24,239.5,9,NA,NA,17,12.45,3.45
Ian Vouyoukas,2006,NA,80.5,81.5,84.75,108.5,28,23,267,14.8,NA,NA,8,13.7,3.72
Ivan Radenovic,2007,NA,81,82.75,83.75,106,28,23,226,9.8,NA,NA,7,11.61,3.6
Aleks Maric,2008,NA,81.75,82.75,85,109.5,28,23,273,10.1,NA,NA,15,11.76,3.35
Cole Aldrich,2010,11,81,83.25,88.75,111.5,28,23,236,8.5,9,9.25,10,11.48,3.35
Wayne Simien,2005,29,79.25,81,84,107,27.5,27,255.8,NA,NA,NA,11,11.05,3.35
Marvin Stone,2003,NA,81.5,,87.5,109.5,27.5,25.5,261,17.4,NA,NA,9,12.1,3.5
Ndongo N'diaye,2000,NA,83.5,,87.5,112.5,27.5,24.5,208,NA,NA,NA,4,13.16,3.69
Tony Bradley,2017,28,81.25,82.75,89,112.5,27.5,24.5,248.8,12,9.5,9.5,5,11.79,3.44
Kentrell Gransberry,2008,NA,78.75,79.75,82.25,106,27.5,24.5,290,17.4,NA,NA,18,12.16,3.32
Martynas Andriuskevicius,2005,44,85.25,87,83.25,112.5,27.5,24,227.8,NA,NA,NA,0,11.94,3.42
Robert Archibald,2002,31,82,NA,83.75,109.5,27.5,24,250,NA,NA,NA,10,11.34,3.33
Aleksander Djuric,2003,NA,82,,84,108,27.5,23.5,253,16.3,NA,NA,3,11.97,3.65
Eric Chenowith,2001,42,85,NA,88,111,27.5,23.5,264,12.9,NA,NA,6,12.5,3.59
DeMarcus Cousins,2010,5,81.5,82.75,89.75,113,27.5,23.5,291.8,16.4,9.25,10,NA,11.4,3.55
Mike Williams,2004,NA,77.5,78.5,83.5,105.5,27.5,23.5,197,9.3,NA,NA,NA,11.59,3.42
Keith Brumbaugh,2008,NA,79.5,80.75,79.25,104.5,27,26,190,4,NA,NA,2,11.65,3.28
Taylor Coppenrath,2005,NA,79.75,81.25,83.5,106.5,27,24.5,252.4,NA,NA,NA,5,11.51,3.44
Curtis Borchardt,2002,18,82.75,NA,86.5,112,27,24,238,NA,NA,NA,7,12.56,3.63
Jason Klotz,2005,NA,80.5,81.75,82,107.5,27,21.5,249.4,NA,NA,NA,12,13.13,3.68
Vladimir Golubovic,2008,NA,83.25,84.25,86.5,111.5,27,21.5,258,6.9,NA,NA,15,12.4,3.33
Artsiom Parakhouski,2010,NA,82.25,83.75,85,109.5,26.5,25.5,268.2,6,9,10.5,16,12.07,3.33
Peter Ramos,2004,NA,85.75,87.25,89.5,111.5,26.5,24,266,6.7,NA,NA,2,12.61,3.6
Brian Butch,2008,NA,81.5,83,83.25,108,26.5,24,229.6,10.8,NA,NA,9,11.87,3.52
Mario Boggan,2007,NA,77,79,86,107,26.5,24,240,9.2,NA,NA,12,12.18,3.45
Luke Schenscher,2005,NA,83.75,85.5,89,111.5,26.5,23.5,241.6,NA,NA,NA,1,12.4,3.47
Tom Timmerrmans,2004,NA,82.5,83.5,83,107.5,26.5,23,272,15.2,NA,NA,15,13.13,3.63
Sean Kennedy,2002,NA,72.75,,74.5,96,26.5,22.5,182,NA,NA,NA,0,11.64,3.28
Yemi Nicholson,2006,NA,79.75,81.5,88.25,107,26,26.5,258,17.2,NA,NA,8,12.57,3.65
Nate Williams,2004,NA,80.5,82,85.5,109.5,26,23.5,240,12.4,NA,NA,1,12.6,3.35
Robert Jackson,2003,NA,79.75,,84,107.5,26,23.5,254,15.9,NA,NA,15,11.26,3.25
Lazaros Papadopoulos,2001,NA,82.25,,86.5,110.5,26,23,227,11.7,NA,NA,4,12,3.7
Solomon Alabi,2010,50,83.5,84.75,89,113,26,22.5,237.4,5,9.25,9.25,10,13.2,3.68
Jared Reiner,2004,NA,82,83.75,84.5,109,26,22,246,12.9,NA,NA,15,12.65,3.56
Jiri Hubalek,2008,NA,81.5,83,82.75,109,26,20.5,226,8.8,NA,NA,2,12.26,3.54
Nick Sheppard,2000,NA,81.5,,83,107.5,25.5,23.5,273,NA,NA,NA,18,12.14,3.52
DeSagana Diop,2001,8,82,NA,90.5,113,25.5,21.5,314,21,NA,NA,15,12.37,3.56
Uche Okafor,2002,NA,81,,89.5,112,25,24.5,229,NA,NA,NA,10,14.45,3.34
Nikola Vucevic,2011,16,82.25,83.75,88.5,112.5,25,23.5,259.8,6.1,9.25,10.25,8,12.02,3.27
Jackie Butler,2004,NA,80,81.5,85.5,109,25,23,263,16.3,NA,NA,14,13.32,3.4
Pavel Podkolzin,2003,NA,87.5,,89.75,116,22.5,19.5,303,16.3,NA,NA,5,13.4,3.8
Mike Smith,2000,35,78.5,NA,80.5,103,21,33,198,NA,NA,NA,12,11.32,3.22